player_id,count
1612,1
3366,1
3508,1
3559,1
3561,1
3582,1
3605,2
3651,1
3692,1
3702,1
3704,1
3720,1
3765,1
3832,1
3875,1
3903,1
3953,1
4174,1
7300,1
13183,1
14313,1
14346,1
14352,1
14370,1
14400,1
14445,1
14457,1
14481,1
14508,1
14536,1
14541,1
14549,1
14610,1
14778,1
14902,1
15373,1
15428,1
15483,1
21106,1
25295,1
26645,1
26804,1
27028,1
27386,1
27852,1
27964,1
28314,1
28353,1
28358,1
28366,1
28371,1
28376,1
28378,1
28381,1
28482,1
29998,1
30904,1
30945,1
31839,1
33387,1
33891,1
37361,1
39402,1
41828,1
41978,1
43357,1
46157,1
48635,1
50600,1
52838,1
56682,1
61432,1
67024,1
68213,1
74658,1
74667,1
79944,1
82989,1
88560,1
88597,1
90368,1
90736,1
98140,1
109589,1
125248,1
125702,1
128188,1
128701,1
130260,1
131435,1
134720,1
134925,1
137402,1
144066,1
145742,1
146044,1
147807,1
147810,1
152724,1
156439,1
161896,1
162303,1
162961,1
163432,1
163483,1
169199,1
172883,1
182019,1
189040,1
191184,1
195063,1
196342,1
204200,1
215855,1
215929,1
237052,1
237232,1
270566,1
278744,1
278842,1
282230,1
283707,1
290149,1
292869,1
295287,1
295976,1
297693,1
309996,1
311563,1
315352,1
326627,1
328631,1
329546,1
334505,1
334754,1
335196,1
337626,1
338304,1
339179,1
343568,1
347708,1
356279,1
358649,1
362056,1
364307,1
367499,1
368531,1
378263,1
378264,1
384604,1
386260,1
391965,1
393231,1
401059,1
404442,1
404516,2
405233,1
405303,1
405512,1
405517,1
405938,1
406255,1
406275,1
408471,1
411863,1
419586,1
420398,1
420399,1
426282,1
426740,1
428140,1
435254,1
435843,1
436466,1
436467,1
436840,1
436866,1
436867,1
438173,1
440650,1
448269,1
454730,1
