,player_id,team_id
0,32,
1,54,1062
1,54,39
2,96,
3,130,
4,285,
5,390,
6,434,
7,568,
8,652,
9,655,120
10,925,
11,987,
12,1165,
13,1262,
14,1484,
15,1590,
16,1605,
17,1649,
18,1845,120
19,1853,
20,1864,
21,2038,
22,2056,
23,2470,
24,2477,
25,2497,
26,2499,
27,2676,
28,2677,
29,2716,
30,2887,
31,2922,
32,5981,
33,5997,
34,6201,
35,7541,
36,7722,
37,9218,
38,9296,
39,9312,
40,9315,
41,9361,
42,9401,
43,9418,
44,9422,
45,9461,
46,9462,
47,9566,
48,9697,
49,9771,
50,9783,
51,9854,
52,9860,
53,9863,
54,9872,
55,9874,
56,9878,
57,9882,
58,9883,
59,9885,1062
60,9890,
61,9923,
62,9958,
63,9967,
64,9978,
65,10004,
66,10035,
67,10047,120
68,10049,120
69,10050,
70,10051,
71,10052,120
72,10057,
73,10059,
74,10060,
75,10069,
76,10073,
77,10077,
78,10081,
79,10087,
80,10144,
81,10244,
82,10275,
83,10279,
84,10319,
85,10338,
86,10363,
87,10367,
88,10377,
89,10379,
90,10380,
91,10387,
92,10388,
93,10419,
94,10432,
95,10444,
96,10507,
97,10526,
98,10540,
99,10574,
100,12705,
101,12825,
102,13771,
103,16360,
104,16372,
105,16847,
106,18737,
107,18739,
108,18740,
109,18741,
110,18742,
111,18744,
112,18746,
113,18747,
114,18753,
115,18947,
116,19147,
117,19173,
118,19307,
119,19341,
120,19495,
121,20665,
122,21138,
123,22167,
124,24888,
125,27778,
126,30524,
127,30756,
128,33045,
129,33063,
130,35534,
131,41112,
132,41311,
133,41362,
134,41495,
135,41606,
136,41621,
137,44348,
138,44494,
139,51028,
140,51214,
141,55166,
142,61178,
143,64356,
144,68057,
145,72952,120
146,80277,
147,80296,
148,80301,
149,80528,
150,82855,
151,103121,
152,119806,
153,123437,
154,127344,
155,129791,
156,130418,39
157,133182,
158,133627,
159,133910,
160,135136,1062
161,135334,
162,143366,
163,144732,39
164,144741,
165,146378,
166,149564,
167,152957,
168,152963,39
169,152964,39
170,157912,
171,158432,39
172,159477,
173,159718,
174,160176,
175,160255,
176,160441,
177,167010,
178,171035,39
179,180386,
180,191872,
181,194888,
182,195092,120
183,195099,120
184,195103,
185,195109,
186,195116,
187,195503,
188,195514,1062
189,195717,
190,195962,
191,195985,
192,196312,120
193,197017,
194,197037,120
195,197317,120
196,197320,120
197,197322,
198,197323,
199,197324,
200,197367,
201,197389,
202,198111,
203,201155,
204,203398,120
205,204033,39
206,237047,
207,238004,
208,238338,
209,238357,
210,238386,
211,238391,
212,265274,
213,265275,
214,266647,
215,266657,1062
216,266658,1062
217,268581,120
218,269374,
219,269441,120
220,271784,
221,277169,
222,280546,
223,280687,39
224,280688,
225,280689,
226,280786,
227,283272,39
228,284237,39
229,284239,39
230,284259,39
231,284262,39
232,284357,39
233,284359,39
234,288012,
235,288115,39
236,288710,
237,289383,1062
238,291764,1062
239,291765,1062
240,291767,1062
241,291768,1062
242,291769,120
243,292001,1062
244,292709,120
245,294593,1062
246,294594,1062
247,297687,
248,303019,39
249,305798,1062
250,305799,1062
251,305800,1062
252,305801,
253,305804,
254,305807,120
255,305825,
256,306059,
257,306363,120
258,306364,
259,307865,1062
260,310870,120
261,311275,1062
262,311276,1062
263,311277,1062
264,311278,1062
265,311279,1062
265,311279,1062
266,311280,1062
267,311281,1062
268,311399,
269,316520,
270,322069,
271,322070,1062
272,328118,39
273,331135,120
274,332491,120
275,333006,
276,340935,
277,349000,
278,350429,
279,352386,1062
280,353028,120
281,353394,120
282,355661,
283,357087,120
284,358006,120
285,359526,120
286,361752,120
287,363697,1062
288,363698,1062
289,363699,1062
290,363700,1062
291,363701,1062
292,370879,1062
293,385726,
294,403669,120
295,403670,120
296,403671,120
297,403672,120
298,406814,1062
299,414281,1062
300,415112,1062
301,415113,1062
302,415114,1062
303,415115,1062
304,415116,1062
305,415123,120
306,415627,120
307,415628,120
308,415629,120
309,415630,120
310,415631,120
311,416112,1062
312,428020,120
313,428021,120
314,428989,1062
315,436879,39
