name,firstname,lastname,age,team_id,league_id
Diego Costa,Diego,da Silva Costa,35,39,39
Lucas Moura,Lucas,Rodrigues Moura da Silva,31,47,39
A. Oxlade-Chamberlain,Alexander Mark David,Oxlade-Chamberlain,30,40,39
P. Jones,Phil Anthony,Jones,31,33,39
J. Lingard,Jesse Ellis,Lingard,31,65,39
M. Lanzini,Manuel,Lanzini,30,48,39
João Moutinho,João Filipe,Iria Santos Moutinho,37,39,39
Adama Traoré,Adama,Traoré Diarra,27,"39, 36",39
T. Davies,Thomas,Davies,25,"45, 62",39
J. McArthur,James,McFarlane McArthur,36,52,39
L. Milivojević,Luka,Milivojević,32,52,39
A. Townsend,Andros Darryl,Townsend,32,"45, 1359",39
A. Begović,Asmir,Begović,36,45,39
J. Stanislas,Felix Junior,Stanislas,34,35,39
C. Clark,Ciaran,Clark,34,62,39
J. Steer,Jed John,Steer,31,66,39
J. Colback,Jack Raymond,Colback,34,65,39
L. Taylor,Lyle James Alfred,Taylor,33,65,39
M. Longstaff,Matthew Ben,Longstaff,23,34,39
E. Wady,Ethan James,Wady,21,49,39
Wesley Moraes,Wesley,Moraes Ferreira da Silva,27,66,39
K. Hoever,Ki-Jana Delano,Hoever,21,39,39
Alex Telles,Alex,Nicolao Telles,31,33,39
David de Gea,David,de Gea Quintana,33,33,39
M. Sanson,Morgan Stéphane,Sanson,29,66,39
R. Giles,Ryan John,Giles,23,"39, 1359",39
R. Laryea,Richmond Mamah,Laryea,28,65,39
J. Bowler,Joshua Luke,Bowler,24,65,39
A. Pressley,Aaron Alex,Pressley,22,55,39
I. Kaboré,Issa,Kaboré,22,"50, 1359",39
W. Fish,William Thomas,Fish,20,33,39
M. Bidstrup,Mads,Bidstrup,22,55,39
Yan Couto,Yan,Bueno Couto,21,50,39
I. Samuels,Imari-Narain,Che Hines-Samuels,20,51,39
C. Cîrjan,Cătălin Ionuț,Cîrjan,21,42,39
C. Rushworth,Carl Andrew,Rushworth,22,51,39
J. Wilson-Esbrand,Joshua Darius,Kamani Wilson-Esbrand,21,50,39
K. Edwards,Khayon,Edwards,20,42,39
F. Potts,Freddie,Potts,20,48,39
C. Patino,Charlie Michael,Patino,20,42,39
